ProteinID	CR1F1	CR1F2	CR1F3	CR1F4	CR1F5	CR1F6	CR1F7	CR1F8	CR1F9	CR1F10	DR1F1	DR1F2	DR1F3	DR1F4	DR1F5	DR1F6	DR1F7	DR1F8	DR1F9	DR1F10	CR2F1	CR2F2	CR2F3	CR2F4	CR2F5	CR2F6	CR2F7	CR2F8	CR2F9	CR2F10	DR2F1	DR2F2	DR2F3	DR2F4	DR2F5	DR2F6	DR2F7	DR2F8	DR2F9	DR2F10	CR3F1	CR3F2	CR3F3	CR3F4	CR3F5	CR3F6	CR3F7	CR3F8	CR3F9	CR3F10	DR3F1	DR3F2	DR3F3	DR3F4	DR3F5	DR3F6	DR3F7	DR3F8	DR3F9	DR3F10	CR4F1	CR4F2	CR4F3	CR4F4	CR4F5	CR4F6	CR4F7	CR4F8	CR4F9	CR4F10
K02F3.2	29	14	6	0	0	0	0	0	0	0	14	19	5	0	0	0	0	0	0	0	20	23	13	0	0	0	0	0	0	0	21	22	12	0	0	0	0	0	0	0	30	35	7	0	0	0	0	0	0	0	24	26	11	0	0	0	0	0	0	0	25	25	26	5	0	0	0	0	0	0
K02F3.3	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	4	10	0
Y45G12C.3	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	4	6	0	0	0
Y45G12C.2	0	0	0	0	10	28	24	0	0	0	0	0	0	0	6	32	4	0	0	0	0	0	0	3	7	24	20	0	0	0	0	0	0	3	10	2	22	0	0	0	0	0	0	0	0	13	31	0	0	0	0	0	0	0	4	15	29	2	0	0	0	0	0	0	4	13	22	0	0	0
R10E11.5a	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0
ZK836.2b	0	2	15	22	4	0	0	0	0	0	0	0	4	15	19	2	0	0	0	0	0	0	5	13	10	0	0	0	0	0	0	0	4	11	16	0	0	0	0	0	0	2	6	15	10	2	0	0	0	0	0	0	0	5	13	5	0	0	0	0	0	0	0	16	2	10	0	0	0	0
ZK836.2a	0	2	19	26	5	0	0	0	0	0	0	0	5	16	22	3	0	0	0	0	0	0	7	14	13	0	0	0	0	0	0	0	5	13	20	0	0	0	0	0	0	2	6	19	11	2	0	0	0	0	0	0	0	5	17	5	0	0	0	0	0	0	2	20	2	15	0	0	0	0
K02F3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	8	0
Reverse_T08A9.3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F29F11.6a	3	0	0	3	7	11	12	7	15	15	0	4	0	4	3	6	5	6	19	14	2	3	2	2	6	9	13	9	40	12	0	2	0	5	8	3	12	9	40	16	2	9	4	6	7	18	10	8	18	17	2	8	4	8	5	6	3	6	23	19	10	13	12	11	9	18	12	22	47	12
Reverse_T08A9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
