Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
sp|P9WHC5|RL20_MYCTU	0.8947323993181078	5.581534537702508E-4	0.053880414440599295	0.027636883840020637	false
tr|Q6MX39|Q6MX39_MYCTU	0.8668648084744734	1.905196935138436E-4	0.053880414440599295	0.05521154603229924	false
tr|P71750|P71750_MYCTU	0.901850793407268	0.9966458606891023	0.9993664202745512	0.03866593948723169	false
sp|P9WIV3|NUSA_MYCTU	0.8514370962508899	0.0900227355616584	0.4055193507152423	0.024285996055261154	false
sp|P9WQ83|CBL_MYCTU	0.8800475912760172	0.023948750658790065	0.2488522798824962	0.028621933992588167	false
tr|P71701|P71701_MYCTU	0.8503694716977256	0.005386768634133023	0.10627322147913487	0.056067661236025225	false
tr|P96847|P96847_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH95|RL332_MYCTU	0.7398516650936509	N/A	N/A	0.04717361222107132	false
sp|P9WK25|MAOX_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQ37|FAC13_MYCTU	0.7631735571670014	0.2317674514101089	0.5501845709951366	0.020750949848611946	false
sp|P9WME5|Y1830_MYCTU	N/A	N/A	N/A	N/A	false
tr|Q50631|Q50631_MYCTU	0.7734078261243403	0.015562294643277411	0.1978880675818374	0.06968153796457884	false
tr|O86353|O86353_MYCTU	0.8423244363345572	0.06440186934478628	0.3581701001804104	0.015215358541437221	false
sp|P9WF11|NNR_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQ67|Y3778_MYCTU	0.8961643566331698	4.053442965932804E-4	0.053880414440599295	0.03106476272991868	false
sp|P9WJN3|MSHB_MYCTU	0.748087399738405	0.008336201002588167	0.1363598448883249	0.07354676747496196	false
sp|P9WP05|Y2417_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53448|O53448_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53897|O53897_MYCTU	0.8535707925850458	0.004673932743596979	0.1030535304020431	0.03668179574584434	false
sp|P9WKJ1|CYSQ_MYCTU	0.8765210822061944	0.077566600674588	0.3829532656356047	0.020510146676194302	false
sp|P9WII7|PDXT_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQK7|UVRA_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WFU1|SYFB_MYCTU	0.8418612976758848	0.01956964635732446	0.2232829043417342	0.04929559907361676	false
sp|P9WNM9|EFGL_MYCTU	0.9084676476434078	6.636264306340668E-4	0.053880414440599295	0.030772136793063586	false
tr|O06789|O06789_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WN35|TRPG_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WHS5|HTPX_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6X827|I6X827_MYCTU	0.7734746003148398	0.1390103948737695	0.4572736577044919	0.02323459801116412	false
sp|P9WKG1|ISPH1_MYCTU	0.7601929216868146	N/A	N/A	0.00916572539630969	false
sp|P9WMR3|DNAB_MYCTU	N/A	N/A	N/A	N/A	false
sp|O53509|Y2175_MYCTU	0.8174809863461119	0.8362909800975099	0.9109097857233844	0.04925142127240191	false
tr|O53289|O53289_MYCTU	0.9205135247475947	0.0490710370132093	0.3249900872737289	0.011435458461816522	false
sp|P9WIY5|NUCS_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WFE3|UREG_MYCTU	0.789327731092437	0.011220926740441482	0.16349575637109023	0.08591504311721508	false
tr|O07424|O07424_MYCTU	0.7627129072772529	0.7485361871862529	0.8663302497822374	0.03662931577556537	false
sp|P9WPN9|CP126_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WP23|DAPB_MYCTU	0.8794041109217418	0.3242779631642111	0.6206489392339445	0.0031329050996411877	false
tr|I6YA29|I6YA29_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6Y9K2|I6Y9K2_MYCTU	0.8359897875696699	0.6492021319726955	0.8146943116436026	0.02652886891440671	false
tr|P96815|P96815_MYCTU	N/A	N/A	N/A	N/A	false
tr|O69700|O69700_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH45|RS19_MYCTU	0.9089677632974276	2.2225214116845771E-4	0.053880414440599295	0.03314583622260713	false
sp|P9WHH7|LPDA_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53516|O53516_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WJH9|Y2913_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQC5|ADHC_MYCTU	0.9265620563051986	0.0023065525880434897	0.07990197445757208	0.022855582331079885	false
sp|P9WHK1|Y0571_MYCTU	0.6278799800948278	0.2777247747369141	0.5852722327112618	0.2916807698328015	true
sp|P9WJA3|HRP1_MYCTU	0.881766549820654	4.1664618967117087E-4	0.053880414440599295	0.053408873382387846	false
tr|O53816|O53816_MYCTU	0.8289452934071988	0.07347224312789082	0.37549785261995294	0.03467277002700284	false
sp|P9WL31|Y2895_MYCTU	0.6645797311052019	3.958614885145856E-6	0.039577613516367474	0.3109794752806114	true
sp|P9WHR9|Y3671_MYCTU	0.8875980676913195	0.1424040220721587	0.46224467320113244	0.023758407317686067	false
sp|P9WJC9|ESPG2_MYCTU	N/A	N/A	N/A	N/A	false
tr|O06308|O06308_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WIR3|CF30_MYCTU	0.9147192826187368	0.7331472256167714	0.8584343001372388	0.0032327851596216763	false
sp|P96284|PKS15_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WKK7|ACEA_MYCTU	0.8900713864127686	2.132453791263248E-4	0.053880414440599295	0.03695349802605607	false
tr|P71977|P71977_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WKW9|Y3786_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WMK5|HOA_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNF9|ETHA_MYCTU	0.835178087767431	0.922041139749693	0.9506004649956464	0.035022912832310356	false
