Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
P20848	N/A	N/A	N/A	N/A	false
Q86VZ2	N/A	N/A	N/A	N/A	false
Q5JVX7	N/A	N/A	N/A	N/A	false
Q8NGS8	N/A	N/A	N/A	N/A	false
Q9NRJ7	N/A	N/A	N/A	N/A	false
Q5SYB0	N/A	N/A	N/A	N/A	false
Q9NRJ5	N/A	N/A	N/A	N/A	false
Q9NRJ4	0.5544657856858284	N/A	N/A	0.07637122534725231	false
Q9NRJ1	N/A	N/A	N/A	N/A	false
Q15858	N/A	N/A	N/A	N/A	false
P98196	N/A	N/A	N/A	N/A	false
P61758	0.8784415199554854	0.019037058898441907	0.07675227394328518	0.04485580067834206	false
P98194	N/A	N/A	N/A	N/A	false
P30613	0.9224671877816206	0.17273015978201917	0.5558441942069845	0.002508368088767136	false
Q86VY9	N/A	N/A	N/A	N/A	false
P20839	0.7734528025243643	0.10757684578920507	0.4162348250032288	0.04077895290373449	false
Q9NRI5	N/A	N/A	N/A	N/A	false
P51970	0.7607155535595267	0.008467849764601378	0.026863295880149813	0.10265172630358854	false
Q8WW59	N/A	N/A	N/A	N/A	false
O95573	0.745343466375049	0.4443157369977453	0.847955652432667	0.054668790670814905	false
Q99856	N/A	N/A	N/A	N/A	false
O95571	N/A	N/A	N/A	N/A	false
Q5VV16	N/A	N/A	N/A	N/A	false
Q8WW52	N/A	N/A	N/A	N/A	false
Q6NXP0	N/A	N/A	N/A	N/A	false
Q15847	N/A	N/A	N/A	N/A	false
P08758	0.8657723373034101	0.35115331417630924	0.779537157003651	0.004774567248347695	false
Q15843	0.7419498140957635	0.011468868356093969	0.03828707771691375	0.13023982138124082	false
P08754	0.7903608778631493	0.06293723001678342	0.2830393116558847	0.03382660518081143	false
P14174	0.8586230457029298	0.02606019983370351	0.11131104456837267	0.04164325239362563	false
Q9BT09	0.767683317993743	0.7968513474128147	1.0	0.06658275503595384	false
A8MV81	N/A	N/A	N/A	N/A	false
P06576	0.9429857912531763	0.2736576974131364	0.7000480649188514	0.003997478923298202	false
P28300	N/A	N/A	N/A	N/A	false
P51965	N/A	N/A	N/A	N/A	false
Q86W92	N/A	N/A	N/A	N/A	false
Q9NRH3	0.5903463445444839	0.0012294956788463558	0.00321331290432414	0.2205098591311314	true
P55084	0.8287902035183852	0.026125958950822818	0.11134129213483146	0.07321142167829062	false
Q99848	0.7186920493899697	0.0018941482875019676	0.004498638066053797	0.22324786397155924	true
Q9NRH2	N/A	N/A	N/A	N/A	false
Q6QHF9	N/A	N/A	N/A	N/A	false
O95563	0.7113248654051871	N/A	N/A	N/A	false
P55081	0.7695096863197786	0.380840075840965	0.8042082039643754	0.03742900660948912	false
P98179	0.834229341559482	0.00997100508202908	0.03159565044593538	0.06110772904840782	false
Q8WVS4	N/A	N/A	N/A	N/A	false
Q8WW43	N/A	N/A	N/A	N/A	false
P98177	N/A	N/A	N/A	N/A	false
P98175	0.6370446812689877	2.6272617253892305E-4	0.0	0.29666422345083815	true
Q15836	0.7117738770837869	0.8600465839203432	1.0	0.15387172353459905	false
Q6UXZ0	N/A	N/A	N/A	N/A	false
P98174	N/A	N/A	N/A	N/A	false
Q6ZWH5	N/A	N/A	N/A	N/A	false
P98172	N/A	N/A	N/A	N/A	false
Q15833	N/A	N/A	N/A	N/A	false
P98171	N/A	N/A	N/A	N/A	false
P39880	N/A	N/A	N/A	N/A	false
A6NH57	N/A	N/A	N/A	N/A	false
Q9UEY8	N/A	N/A	N/A	N/A	false
P51957	N/A	N/A	N/A	N/A	false
Q6P4A7	N/A	N/A	N/A	N/A	false
P51956	N/A	N/A	N/A	N/A	false
Q9NRG9	N/A	N/A	N/A	N/A	false
Q9NRG7	N/A	N/A	N/A	N/A	false
Q86VW0	N/A	N/A	N/A	N/A	false
P55075	N/A	N/A	N/A	N/A	false
Q8NGP3	N/A	N/A	N/A	N/A	false
Q6UXY8	N/A	N/A	N/A	N/A	false
P20810	0.7539339869884856	0.48037932598749244	0.8648302834176578	0.007018552437120756	false
Q8NGP2	N/A	N/A	N/A	N/A	false
Q9NRG1	N/A	N/A	N/A	N/A	false
P55072	0.7839629181389629	0.002023760839280084	0.0052643636943182715	0.11405124352109543	false
Q9NRG0	N/A	N/A	N/A	N/A	false
Q8NH10	N/A	N/A	N/A	N/A	false
Q99835	N/A	N/A	N/A	N/A	false
Q52LJ0	0.777516084723734	6.286410832396815E-4	0.0	0.13723711620433102	false
P98169	N/A	N/A	N/A	N/A	false
O95551	N/A	N/A	N/A	N/A	false
P98168	N/A	N/A	N/A	N/A	false
Q15828	N/A	N/A	N/A	N/A	false
Q99832	0.927209771915882	0.059996900971053965	0.2728568755913897	0.009026934413048473	false
P16333	N/A	N/A	N/A	N/A	false
P98164	N/A	N/A	N/A	N/A	false
P98160	N/A	N/A	N/A	N/A	false
A8MUU1	0.8171181845083828	0.05001645313336903	0.22890525129516245	0.055849399448111625	false
Q13643	N/A	N/A	N/A	N/A	false
Q86VV8	N/A	N/A	N/A	N/A	false
Q13642	0.7566627660029747	0.07631600948768609	0.32997409348180246	0.04681334520074531	false
Q13641	N/A	N/A	N/A	N/A	false
P51946	N/A	N/A	N/A	N/A	false
Q9BSM1	N/A	N/A	N/A	N/A	false
Q9NRF9	0.6981728475294825	0.0130139524462497	0.05190463320691407	0.10198620196253146	false
Q9NRF8	0.8039887634952447	N/A	N/A	0.04160014533034527	false
Q53T59	N/A	N/A	N/A	N/A	false
P49643	0.8056310492249509	0.9412196503523801	1.0	0.08848247007812496	false
Q99829	0.7588971562480185	0.08625241979998162	0.3577749611765781	0.0734793196787238	false
P18505	N/A	N/A	N/A	N/A	false
P49642	N/A	N/A	N/A	N/A	false
Q09161	0.7699110568377483	0.12401128751231949	0.4559999346574118	0.03368717910089279	false
Q9NRF2	N/A	N/A	N/A	N/A	false
P20800	N/A	N/A	N/A	N/A	false
Q8NH02	N/A	N/A	N/A	N/A	false
Q09160	N/A	N/A	N/A	N/A	false
P49640	N/A	N/A	N/A	N/A	false
Q8NH00	N/A	N/A	N/A	N/A	false
P55061	N/A	N/A	N/A	N/A	false
Q6UXX5	N/A	N/A	N/A	N/A	false
P55060	0.9009395385845981	0.4200159688926177	0.83145641294862	0.0010785369748772824	false
Q15819	0.8875489586100687	0.9853539693842411	1.0	0.07080349564368618	false
Q8WW22	N/A	N/A	N/A	N/A	false
P08729	0.7747397579927673	0.006554352873152957	0.01793700039130192	0.08718140898522854	false
P08727	0.8462821184456502	0.013596908033768828	0.05489744264981273	0.052664939038664656	false
Q5VUM1	N/A	N/A	N/A	N/A	false
Q15814	N/A	N/A	N/A	N/A	false
Q15813	0.83974514186855	0.0026888234001233146	0.00618562734082397	0.08959533086731766	false
A8MV57	N/A	N/A	N/A	N/A	false
Q15811	N/A	N/A	N/A	N/A	false
Q13636	N/A	N/A	N/A	N/A	false
Q9UEW8	N/A	N/A	N/A	N/A	false
Q13634	N/A	N/A	N/A	N/A	false
Q13630	N/A	N/A	N/A	N/A	false
A5PL33	N/A	N/A	N/A	N/A	false
Q5M9Q1	N/A	N/A	N/A	N/A	false
Q9NRE2	N/A	N/A	N/A	N/A	false
Q5JVS0	N/A	N/A	N/A	N/A	false
Q99816	N/A	N/A	N/A	N/A	false
Q8IUY3	N/A	N/A	N/A	N/A	false
Q6QHC5	N/A	N/A	N/A	N/A	false
