Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
T11B7.4d	0.7069144093203886	0.4277255706722742	0.9995692703162754	0.039610756243006105	false
T11B7.4c	0.6666666666666667	N/A	N/A	N/A	false
T11B7.4a	0.7269394808494862	0.5955385928144304	0.9995692703162754	0.06606669075840181	false
F58H1.1	N/A	N/A	N/A	N/A	false
F53B6.5	0.7173015228989524	0.1071319441948785	0.9995692703162754	0.05902004956204014	false
C25F6.3	0.8618997307366949	0.36641496699692827	0.9995692703162754	0.00557628425534708	false
C28D4.3	0.601654612050948	N/A	N/A	0.12944866342741723	false
D1005.1	0.8292109788193888	0.639539292417804	0.9995692703162754	0.017578537424362252	false
ZK353.9	0.8341750841750842	N/A	N/A	0.10998990918264372	false
ZK353.8	0.7777777777777778	N/A	N/A	0.22936446792342702	true
F13G3.5b	0.8820390151959234	0.5210292440925667	0.9995692703162754	0.00650885485939742	false
T21C9.12	0.7561735842460314	N/A	N/A	0.24887323157248017	true
F13G3.5a	0.8880611398750752	0.3920269144497423	0.9995692703162754	0.00609271227890311	false
ZK353.6	0.7884836638510292	0.9560262045800625	0.9995692703162754	0.08693398306178998	false
C47G2.5c	N/A	N/A	N/A	N/A	false
Y54G11A.9	N/A	N/A	N/A	N/A	false
F08H9.7	N/A	N/A	N/A	N/A	false
C14C10.5	0.8071302471131888	0.9676463578992145	0.9995692703162754	0.06163030366529154	false
Y54G11A.7	0.7262364840382475	0.011784160322730332	0.047791148708579895	0.11983203816853136	false
C14C10.4	0.7555062491606894	0.006234468812997315	0.023878346110343094	0.1262807602513352	false
Y54G11A.6	0.8813119734648137	0.8144760012176965	0.9995692703162754	0.02241370652028393	false
T05E11.3b	0.8671118220320747	0.860622020389829	0.9995692703162754	0.05547791873026007	false
Y54G11A.5	0.9024824764273706	0.3362214373790824	0.9995692703162754	0.003278966723222955	false
T05E11.3a	0.8681815021762852	0.8680978812873337	0.9995692703162754	0.05565088054055911	false
Y54G11A.4	0.6451040319005156	N/A	N/A	0.0280888681183705	false
H05C05.1a	N/A	N/A	N/A	N/A	false
Y54G11A.2	0.6871267556185329	0.09250655253549743	0.9388124097157782	0.06803777823386556	false
Y54G11A.1	N/A	N/A	N/A	N/A	false
F45F2.2	0.9200552440586812	0.9904513484007955	0.9995692703162754	0.031264328482893074	false
C48E7.10	N/A	N/A	N/A	N/A	false
D2024.6	0.8258008278903882	0.6030420139958281	0.9995692703162754	0.03637837809978206	false
Y43F4A.4	N/A	N/A	N/A	N/A	false
K02F2.1b	0.6921341067070381	0.9975151373726717	0.9995692703162754	0.27018593214068615	true
C07A9.2	N/A	N/A	N/A	N/A	false
M03C11.8	N/A	N/A	N/A	N/A	false
F15G9.4b	0.6445758598365102	0.6870933254961218	0.9995692703162754	0.20394833350860234	true
M03C11.7	0.13397459621556151	N/A	N/A	N/A	false
