Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
C15H11.3b	N/A	N/A	N/A	N/A	false
C15H11.3a	N/A	N/A	N/A	N/A	false
C54G4.1b	N/A	N/A	N/A	N/A	false
C54G4.1a	0.7620784030874794	0.37885690996697724	1.0	0.0012283424701605868	false
F20G4.3	1.0	7.708574520998866E-4	0.06257167772111091	0.0	false
C54G10.2a	N/A	N/A	N/A	N/A	false
F20G4.1	N/A	N/A	N/A	N/A	false
Y92H12BR.3b	0.7070378005671687	0.2033086823419037	1.0	0.03952522081344676	false
Y92H12BR.3a	0.7248800789097062	0.13198377477109638	1.0	0.04646263086781999	false
M01A10.3	0.8520959541910696	N/A	N/A	0.07476932217023854	false
F49E8.5	0.8970966251064946	0.9161436258646333	1.0	0.06690743318610515	false
F49E8.4	0.8363814975525476	0.3029562593694378	1.0	0.006775752831552588	false
T15H9.7b	N/A	N/A	N/A	N/A	false
C33G3.4	N/A	N/A	N/A	N/A	false
T15H9.7a	N/A	N/A	N/A	N/A	false
K02D7.4	0.8809706753798048	0.9675699510212902	1.0	0.059334633157240434	false
T17H7.1	1.0	N/A	N/A	N/A	false
K02D7.1	0.7707519006376579	0.4657979480807461	1.0	0.00919101466334574	false
ZK550.6	0.8650422505555664	0.8941025969263845	1.0	0.03974614404589997	false
ZK550.3	0.6638262060652893	0.017339280260314813	0.18402537770316973	0.2177092278706382	true
Y69E1A.5	0.7232871192659935	N/A	N/A	0.032835819859146624	false
W02F12.5	0.9148867816957186	0.031146050561042398	0.3644130049933246	0.024691942995321303	false
Y69E1A.2	0.7495488319216346	0.6501118311531553	1.0	0.06886795889317195	false
W02F12.3	N/A	N/A	N/A	N/A	false
T28C6.6	N/A	N/A	N/A	N/A	false
T28C6.4	N/A	N/A	N/A	N/A	false
F45E1.7b	N/A	N/A	N/A	N/A	false
F45E1.7a	N/A	N/A	N/A	N/A	false
Y53F4A.2	N/A	N/A	N/A	N/A	false
C44B12.5	0.8990521411490143	0.372848467824442	1.0	0.012067868104105511	false
C44B12.2	0.8215162716985847	0.19565868637677242	1.0	0.015418761701990276	false
C44B12.1	0.9132508594724489	0.3232501041897176	1.0	0.008065461643718191	false
F08A8.4	N/A	N/A	N/A	N/A	false
Y56A3A.12b	0.7121156350827577	0.5959130230084906	1.0	0.06370020568470317	false
F08A8.3	N/A	N/A	N/A	N/A	false
Y56A3A.12a	0.7121156350827577	0.5959130230084906	1.0	0.06370020568470317	false
T03F1.3	0.9412339377712966	0.9675399944090644	1.0	0.02214806875509896	false
T03F1.1	0.7423371534242381	0.15038324308543596	1.0	0.06424597364576398	false
T23H2.5	0.709043143673414	N/A	N/A	0.03440141250428464	false
T23H2.1	0.7414697240716939	0.9038533864282507	1.0	0.08887495913646337	false
F44B9.8	N/A	N/A	N/A	N/A	false
VW02B12L.3	0.6613585634283493	N/A	N/A	0.07673331105424588	false
VW02B12L.1	N/A	N/A	N/A	N/A	false
W03F8.5	0.6470397684764916	0.9697089274149052	1.0	0.24798379471371004	true
W03F8.4	0.74442851152864	5.443323545698501E-4	0.0	0.16194264319615914	false
W03F8.1	0.9168682027407531	0.5769547118257504	1.0	0.026603698637001932	false
C42D8.3	N/A	N/A	N/A	N/A	false
K06C4.5	0.8489568200254185	0.020552869339636078	0.2297890923206314	0.040704215770645924	false
K06C4.4	0.9132193406049359	0.9326231207166336	1.0	0.03813749804493182	false
K06C4.3	0.8586051000150383	0.028833292465644703	0.3272229619318526	0.017370205863796513	false
K06C4.2	0.8941519524220028	0.985461729881342	1.0	0.041116337269097095	false
D1054.8	N/A	N/A	N/A	N/A	false
D1054.2	0.8725213536163255	0.7732185437082442	1.0	0.034547686465785876	false
W08A12.1d	0.7334445122979889	N/A	N/A	0.18278318050651554	false
W08A12.1c	0.7334445122979889	N/A	N/A	0.18278318050651554	false
