Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
sp|P9WHC5|RL20_MYCTU	0.9194866388269933	0.22951323336814186	0.6767990711659917	0.010848677356276546	false
sp|P9WJB3|FLQE2_MYCTU	N/A	N/A	N/A	N/A	false
tr|Q6MX39|Q6MX39_MYCTU	0.9059814146237505	0.07578509718464589	0.36264687232741444	0.0078032599629512525	false
tr|P71750|P71750_MYCTU	0.8341394053190729	0.06920040659308874	0.34121791112273087	0.0397693968685336	false
sp|P9WIV3|NUSA_MYCTU	0.8598188647221224	0.009909107984510184	0.029723003543992457	0.06275461237258499	false
sp|P9WQ83|CBL_MYCTU	0.891010881014393	0.0072715034655193335	0.022063000786259994	0.0398973491933229	false
tr|P71701|P71701_MYCTU	0.8268712591903109	3.225846577106071E-5	0.0	0.11970417976149297	false
tr|O06830|O06830_MYCTU	N/A	N/A	N/A	N/A	false
tr|P96847|P96847_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH95|RL332_MYCTU	0.6734071303932637	0.1149923871990528	0.48273182171441037	3.6132419539745315E-4	false
sp|P9WK25|MAOX_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQE3|PPSD_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQ37|FAC13_MYCTU	0.841767957589238	0.5851373955560778	0.9436476703564964	0.013052752106476327	false
sp|P9WME5|Y1830_MYCTU	N/A	N/A	N/A	N/A	false
tr|Q50631|Q50631_MYCTU	0.84243350959162	2.1943394782285847E-6	0.0	0.11498532463931767	false
tr|O86353|O86353_MYCTU	0.8936363010948817	0.07510552850431487	0.35887104070351306	0.014843345941364524	false
tr|O53148|O53148_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WF11|NNR_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQ67|Y3778_MYCTU	0.8752167040429796	5.085374281241132E-4	0.0	0.06208147299905159	false
sp|P9WJN3|MSHB_MYCTU	0.7793547048028094	0.06210638535820735	0.3185318725243155	0.043708049365504216	false
sp|P9WP05|Y2417_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WJ23|VPB39_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53697|O53697_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53448|O53448_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53897|O53897_MYCTU	0.9010557635961908	0.028376017809240976	0.12553703611631858	0.019483520174075494	false
sp|P9WFB9|VAPC2_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WKJ1|CYSQ_MYCTU	0.9252274152132323	0.07323401726651249	0.3544205910825124	0.011483868255620477	false
sp|P9WII7|PDXT_MYCTU	0.8291666666666666	N/A	N/A	0.11557788944723632	false
sp|P9WQK7|UVRA_MYCTU	0.6864702457130774	N/A	N/A	0.09515199287617969	false
sp|P9WFU1|SYFB_MYCTU	0.8896209184997182	0.021050279444180274	0.08054752381922863	0.016728863855913163	false
sp|P9WNM9|EFGL_MYCTU	0.9201072417499694	0.3440779722632485	0.8042033859643267	6.976687807690151E-4	false
sp|P9WN35|TRPG_MYCTU	0.8743890697396576	0.999071465101529	1.0	0.10495696043800885	false
